,balance,signal,bond price,stock price,bond hold,stock hold,commission,tax,reverse open,net value
0,0.0,,,,0.0,0.0,0.0,0.0,,
2022-06-06 09:41:00,-24.44060422960723,1-1,138.64,117.18,1.0,-0.9745638826625085,0.05056787915407855,0.11419939577039274,False,-0.1647672749244713
2022-06-06 09:45:00,2.02218009940556,00,138.83,115.3,0.0,0.0,0.05023944313419745,0.0,False,1.9719406562713624
2022-06-06 09:52:00,-22.741985186628938,1-1,139.1,117.32,1.0,-0.9745638826625085,0.0506871669427931,0.1143358347139655,False,1.8571570977488154
2022-06-06 15:00:00,1.2292008576162772,00,143.94,123.1,0.0,0.0,0.05278176279115096,0.0,False,1.1764190948251263
2022-06-07 09:32:00,-19.728911412142992,1-1,145.79,128.09,1.0,-0.9745638826625085,0.054124377546048145,0.12483188773024072,False,1.0502445923400026
2022-06-07 15:00:00,3.1998109346068304,00,142.42,122.61,0.0,0.0,0.05238225553065004,0.0,False,3.1474286790761803
2022-06-09 09:58:00,31.49968911412151,-11,152.05,126.98,-1.0,0.9745638826625085,0.055160024364097074,0.0,False,3.144650910242733
2022-06-09 10:01:00,6.845326966182711,00,147.81,126.37,0.0,0.0,0.054193127570412246,0.12315563785206121,False,6.667978200760237
2022-06-09 10:34:00,-15.28986356105635,1-1,143.79,124.83,1.0,-0.9745638826625085,0.05308896189455219,0.12165480947276093,False,6.670583194815383
2022-06-09 15:00:00,7.03279797290719,00,145.03,125.91,0.0,0.0,0.0535474676932073,0.0,False,6.979250505213982
2022-06-10 09:36:00,31.495670012669393,-11,143.73,122.38,-1.0,0.9745638826625085,0.052599425592047555,0.0,False,6.980198547315142
2022-06-10 10:27:00,9.124105837637728,00,145.42,126.26,0.0,0.0,0.05369368716499366,0.12304843582496833,False,8.947363714647766
2022-06-10 13:30:00,-11.824559009843028,1-1,149.25,131.65,1.0,-0.9745638826625085,0.05551026703050385,0.12830133515251926,False,8.940294235454704
2022-06-10 15:00:00,9.238270149108331,00,150.29,132.6,0.0,0.0,0.05590343416820972,0.0,False,9.182366714940121
2022-06-13 09:30:00,33.518875353279455,-11,151.89,130.94,-1.0,0.9745638826625085,0.05589987895916577,0.0,False,9.182370270149166
2022-06-13 11:17:00,11.785348406588085,00,152.52,134.2,0.0,0.0,0.05666129461066173,0.13078647305330862,False,11.597900638924115
2022-06-13 14:32:00,34.93790858590785,-11,151.22,131.41,-1.0,0.9745638826625085,0.055857487964136046,0.0,False,11.729490918623963
2022-06-13 15:00:00,13.392964623331096,00,150.47,132.29,0.0,0.0,0.05587901120748466,0.12892505603742324,False,13.20816055608619
2022-06-14 09:31:00,36.694892310691,-11,148.28,128.24,-1.0,0.9745638826625085,0.05465161446252802,0.0,False,13.338313008868568
2022-06-14 15:00:00,13.321656758600568,00,144.57,124.36,0.0,0.0,0.053153352889581916,0.12119676444790956,False,13.147306641263077
2022-06-15 09:34:00,38.50537179612128,-11,144.1,122.02,-1.0,0.9745638826625085,0.05260325699249586,0.0,False,13.269053501608072
2022-06-15 11:14:00,15.519113146866815,00,142.0,122.12,0.0,0.0,0.05220274827014911,0.11901374135074554,False,15.34789665724592
2022-06-16 09:48:00,-6.021368287691217,1-1,146.08,127.79,1.0,-0.9745638826625085,0.0541239037130884,0.12453951856544197,False,15.340449724588298
2022-06-16 15:00:00,16.53181658707733,00,146.43,127.11,0.0,0.0,0.0540613630250463,0.0,False,16.477755224052284
2022-06-17 10:26:00,-3.9580908293538215,1-1,146.54,129.34,1.0,-0.9745638826625085,0.05451801851671377,0.12605009258356886,False,16.35124847597702
2022-06-17 15:00:00,15.419491277653265,00,149.17,133.18,0.0,0.0,0.05579248357859858,0.0,False,15.363698794074667
2022-06-20 09:34:00,-2.221107104570706,1-1,151.38,137.23,1.0,-0.9745638826625085,0.05702388032355521,0.13373940161777603,False,15.228727995711933
2022-06-20 13:04:00,17.09691842900301,00,150.66,134.77,0.0,0.0,0.056400394893285265,0.0,False,17.040518034109727
2022-06-21 09:42:00,37.64674593119578,-11,146.98,129.73,-1.0,0.9745638826625085,0.054682034499561445,0.0,False,17.04223639450345
2022-06-21 10:03:00,18.570275801578774,00,148.06,132.35,0.0,0.0,0.0554087059740766,0.128983529870383,False,18.385883565734314
2022-06-22 10:45:00,39.72777799434755,-11,151.33,133.57,-1.0,0.9745638826625085,0.05630049956144626,0.0,False,18.513975302017343
2022-06-22 11:23:00,21.31224539518567,00,146.98,131.92,0.0,0.0,0.05510889348016763,0.1285644674008381,False,21.128572034304664
2022-06-23 09:30:00,41.89928954292955,-11,148.06,130.8,-1.0,0.9745638826625085,0.055106591170451226,0.0,False,21.25713880401522
2022-06-23 09:40:00,23.207128934801688,00,148.66,133.36,0.0,0.0,0.05572556787837443,0.12996783939187215,False,23.02143552753144
2022-06-23 10:13:00,43.561694766591955,-11,146.2,129.13,-1.0,0.9745638826625085,0.054409086833641936,0.0,False,23.152719847968047
2022-06-23 13:02:00,25.224127278043085,00,146.98,132.0,0.0,0.0,0.055124486502290224,0.12864243251145113,False,25.040360359029343
2022-06-27 14:14:00,44.612741448201945,-11,150.37,134.4,-1.0,0.9745638826625085,0.05627027716596823,0.0,False,25.167857000877117
2022-06-27 15:00:00,24.564301724978094,00,150.64,134.0,0.0,0.0,0.05624631205535523,0.13059156027677615,False,24.377463852645963
2022-06-28 09:41:00,46.54040834226686,-11,149.03,130.37,-1.0,0.9745638826625085,0.055216778676542254,0.0,False,24.509084946301552
2022-06-28 11:03:00,26.143065977974857,00,151.33,134.35,0.0,0.0,0.05645253152714161,0.13093265763570802,False,25.955680788812007
2022-06-28 13:15:00,8.015679758308153,1-1,152.51,137.89,1.0,-0.9745638826625085,0.057378522756066655,0.13438261378033328,False,25.951304841438457
2022-06-28 13:36:00,28.76160510671474,00,153.54,136.26,0.0,0.0,0.057266814930318675,0.0,False,28.70433829178442
